state,0.2,0.5,0.8,delta,lower_bound,upper_bound
12071,-2.0,0.0,2.0,6.0,-8.0,8.0
12073,-2.0,0.0,2.0,6.0,-8.0,8.0
12075,-2.0,0.0,2.0,6.0,-8.0,8.0
12077,-2.0,0.0,2.0,6.0,-8.0,8.0
12079,-2.0,0.0,2.0,6.0,-8.0,8.0
12081,-2.0,0.0,2.0,6.0,-8.0,8.0
12083,-2.0,0.0,2.0,6.0,-8.0,8.0
12085,-2.0,0.0,2.0,6.0,-8.0,8.0
12086,-2.0,0.0,2.0,6.0,-8.0,8.0
12087,-2.0,0.0,2.0,6.0,-8.0,8.0
12089,-2.0,0.0,2.0,6.0,-8.0,8.0
12091,-2.0,0.0,2.0,6.0,-8.0,8.0
12093,-2.0,0.0,2.0,6.0,-8.0,8.0
12095,-2.0,0.0,2.0,6.0,-8.0,8.0
12097,-2.0,0.0,2.0,6.0,-8.0,8.0
12099,-2.0,0.0,2.0,6.0,-8.0,8.0
12101,-2.0,0.0,2.0,6.0,-8.0,8.0
12103,-2.0,0.0,2.0,6.0,-8.0,8.0
12105,-2.0,0.0,2.0,6.0,-8.0,8.0
12107,-2.0,0.0,2.0,6.0,-8.0,8.0
12109,-2.0,0.0,2.0,6.0,-8.0,8.0
12111,-2.0,0.0,2.0,6.0,-8.0,8.0
12113,-2.0,0.0,2.0,6.0,-8.0,8.0
12115,-2.0,0.0,2.0,6.0,-8.0,8.0
12117,-2.0,0.0,2.0,6.0,-8.0,8.0
12119,-2.0,0.0,2.0,6.0,-8.0,8.0
12121,-2.0,0.0,2.0,6.0,-8.0,8.0
12123,-2.0,0.0,2.0,6.0,-8.0,8.0
12125,-2.0,0.0,2.0,6.0,-8.0,8.0
12127,-2.0,0.0,2.0,6.0,-8.0,8.0
12129,-2.0,0.0,2.0,6.0,-8.0,8.0
12131,-2.0,0.0,2.0,6.0,-8.0,8.0
12133,-2.0,0.0,2.0,6.0,-8.0,8.0
13000,-139.0,0.0,104.0,364.5,-503.5,468.5
13001,-7.0,-2.0,3.0,15.0,-22.0,18.0
13003,-2.0,0.0,2.0,6.0,-8.0,8.0
13005,-8.0,0.0,4.0,18.0,-26.0,22.0
13007,-1.0,0.0,1.0,3.0,-4.0,4.0
13009,-5.0,0.0,16.0,31.5,-36.5,47.5
13011,-6.0,0.0,3.0,13.5,-19.5,16.5
13013,-26.0,0.0,9.0,52.5,-78.5,61.5
13015,-15.0,12.0,57.0,108.0,-123.0,165.0
13017,-10.0,-3.0,2.0,18.0,-28.0,20.0
13019,-18.0,-1.0,3.0,31.5,-49.5,34.5
13021,-25.0,-3.0,18.0,64.5,-89.5,82.5
13023,-7.0,-2.0,2.0,13.5,-20.5,15.5
13025,-4.0,0.0,5.0,13.5,-17.5,18.5
13027,-7.0,-1.0,2.0,13.5,-20.5,15.5
13029,-9.0,-3.0,6.0,22.5,-31.5,28.5
13031,-21.0,-6.0,3.0,36.0,-57.0,39.0
13033,-5.0,-1.0,5.0,15.0,-20.0,20.0
13035,-10.0,0.0,3.0,19.5,-29.5,22.5
13037,-2.0,0.0,2.0,6.0,-8.0,8.0
13039,-18.0,0.0,12.0,45.0,-63.0,57.0
13043,-4.0,0.0,2.0,9.0,-13.0,11.0
13045,-38.0,-5.0,8.0,69.0,-107.0,77.0
13047,-11.0,1.0,13.0,36.0,-47.0,49.0
13049,-6.0,-1.0,3.0,13.5,-19.5,16.5
13051,-46.0,1.0,32.0,117.0,-163.0,149.0
13053,-9.0,-1.0,8.0,25.5,-34.5,33.5
13055,-5.0,1.0,5.0,15.0,-20.0,20.0
13057,-42.0,-4.0,19.0,91.5,-133.5,110.5
13059,-18.0,7.0,38.0,84.0,-102.0,122.0
13061,-1.0,0.0,1.0,3.0,-4.0,4.0
13063,-52.0,0.0,74.0,189.0,-241.0,263.0
13065,-9.0,-1.0,1.0,15.0,-24.0,16.0
13067,-95.0,-6.0,99.0,291.0,-386.0,390.0
13069,-25.0,-1.0,10.0,52.5,-77.5,62.5
13071,-16.0,1.0,11.0,40.5,-56.5,51.5
13073,-31.0,-4.0,11.0,63.0,-94.0,74.0
13075,-13.0,-1.0,2.0,22.5,-35.5,24.5
13077,-56.0,-11.0,15.0,106.5,-162.5,121.5
13079,-2.0,0.0,2.0,6.0,-8.0,8.0
13081,-6.0,0.0,5.0,16.5,-22.5,21.5
13083,-3.0,1.0,6.0,13.5,-16.5,19.5
13085,-10.0,-1.0,5.0,22.5,-32.5,27.5
13087,-16.0,-3.0,4.0,30.0,-46.0,34.0
13089,-157.0,-15.0,107.0,396.0,-553.0,503.0
13091,-9.0,-1.0,3.0,18.0,-27.0,21.0
13093,-2.0,0.0,3.0,7.5,-9.5,10.5
13095,-33.0,-4.0,10.0,64.5,-97.5,74.5
13097,-29.0,2.0,10.0,58.5,-87.5,68.5
13099,-5.0,0.0,2.0,10.5,-15.5,12.5
13101,-1.0,0.0,1.0,3.0,-4.0,4.0
13103,-19.0,-3.0,12.0,46.5,-65.5,58.5
13105,-7.0,-1.0,2.0,13.5,-20.5,15.5
13107,-11.0,-2.0,11.0,33.0,-44.0,44.0
13109,-4.0,0.0,2.0,9.0,-13.0,11.0
13111,-6.0,1.0,5.0,16.5,-22.5,21.5
13113,-24.0,-3.0,16.0,60.0,-84.0,76.0
13115,-19.0,6.0,57.0,114.0,-133.0,171.0
13117,-40.0,5.0,39.0,118.5,-158.5,157.5
13119,-7.0,0.0,5.0,18.0,-25.0,23.0
13121,-197.0,14.0,81.0,417.0,-614.0,498.0
13123,-9.0,-2.0,5.0,21.0,-30.0,26.0
13125,-1.0,0.0,1.0,3.0,-4.0,4.0
13127,-10.0,-3.0,19.0,43.5,-53.5,62.5
13129,-13.0,4.0,16.0,43.5,-56.5,59.5
13131,-11.0,-1.0,2.0,19.5,-30.5,21.5
13133,-5.0,1.0,10.0,22.5,-27.5,32.5
13135,-257.0,-16.0,179.0,654.0,-911.0,833.0
13137,-8.0,-2.0,8.0,24.0,-32.0,32.0
13139,-42.0,2.0,27.0,103.5,-145.5,130.5
13141,-2.0,0.0,1.0,4.5,-6.5,5.5
13143,-15.0,-3.0,2.0,25.5,-40.5,27.5
13145,-8.0,-1.0,6.0,21.0,-29.0,27.0
13147,-14.0,-2.0,3.0,25.5,-39.5,28.5
13149,-2.0,0.0,3.0,7.5,-9.5,10.5
