name,fips,county,state
"Lowndes County, Alabama, United States",1085,Lowndes County,Alabama
"Macon County, Alabama, United States",1087,Macon County,Alabama
"Madison County, Alabama, United States",1089,Madison County,Alabama
"Marengo County, Alabama, United States",1091,Marengo County,Alabama
"Marion County, Alabama, United States",1093,Marion County,Alabama
"Marshall County, Alabama, United States",1095,Marshall County,Alabama
"Mobile County, Alabama, United States",1097,Mobile County,Alabama
"Monroe County, Alabama, United States",1099,Monroe County,Alabama
"Montgomery County, Alabama, United States",1101,Montgomery County,Alabama
"Morgan County, Alabama, United States",1103,Morgan County,Alabama
"Perry County, Alabama, United States",1105,Perry County,Alabama
"Pickens County, Alabama, United States",1107,Pickens County,Alabama
"Pike County, Alabama, United States",1109,Pike County,Alabama
"Randolph County, Alabama, United States",1111,Randolph County,Alabama
"Russell County, Alabama, United States",1113,Russell County,Alabama
"St. Clair County, Alabama, United States",1115,St. Clair County,Alabama
"Shelby County, Alabama, United States",1117,Shelby County,Alabama
"Sumter County, Alabama, United States",1119,Sumter County,Alabama
"Talladega County, Alabama, United States",1121,Talladega County,Alabama
"Tallapoosa County, Alabama, United States",1123,Tallapoosa County,Alabama
"Tuscaloosa County, Alabama, United States",1125,Tuscaloosa County,Alabama
"Walker County, Alabama, United States",1127,Walker County,Alabama
"Washington County, Alabama, United States",1129,Washington County,Alabama
"Wilcox County, Alabama, United States",1131,Wilcox County,Alabama
"Winston County, Alabama, United States",1133,Winston County,Alabama
"Aleutians East Borough, Alaska, United States",2013,Aleutians East Borough,Alaska
"Aleutians West Census Area, Alaska, United States",2016,Aleutians West Census Area,Alaska
"Anchorage Municipality, Alaska, United States",2020,Anchorage Municipality,Alaska
"Bethel Census Area, Alaska, United States",2050,Bethel Census Area,Alaska
"Bristol Bay Borough, Alaska, United States",2060,Bristol Bay Borough,Alaska
"Denali Borough, Alaska, United States",2068,Denali Borough,Alaska
"Dillingham Census Area, Alaska, United States",2070,Dillingham Census Area,Alaska
"Fairbanks North Star Borough, Alaska, United States",2090,Fairbanks North Star Borough,Alaska
"Haines Borough, Alaska, United States",2100,Haines Borough,Alaska
"Hoonah-Angoon Census Area, Alaska, United States",2105,Hoonah-Angoon Census Area,Alaska
"Juneau City and Borough, Alaska, United States",2110,Juneau City and Borough,Alaska
"Kenai Peninsula Borough, Alaska, United States",2122,Kenai Peninsula Borough,Alaska
"Ketchikan Gateway Borough, Alaska, United States",2130,Ketchikan Gateway Borough,Alaska
"Kodiak Island Borough, Alaska, United States",2150,Kodiak Island Borough,Alaska
"Kusilvak Census Area, Alaska, United States",2158,Kusilvak Census Area,Alaska
"Lake and Peninsula Borough, Alaska, United States",2164,Lake and Peninsula Borough,Alaska
"Matanuska-Susitna Borough, Alaska, United States",2170,Matanuska-Susitna Borough,Alaska
"Nome Census Area, Alaska, United States",2180,Nome Census Area,Alaska
"North Slope Borough, Alaska, United States",2185,North Slope Borough,Alaska
"Northwest Arctic Borough, Alaska, United States",2188,Northwest Arctic Borough,Alaska
"Petersburg Borough, Alaska, United States",2195,Petersburg Borough,Alaska
"Prince of Wales-Hyder Census Area, Alaska, United States",2198,Prince of Wales-Hyder Census Area,Alaska
"Sitka City and Borough, Alaska, United States",2220,Sitka City and Borough,Alaska
"Skagway Municipality, Alaska, United States",2230,Skagway Municipality,Alaska
"Southeast Fairbanks Census Area, Alaska, United States",2240,Southeast Fairbanks Census Area,Alaska
"Valdez-Cordova Census Area, Alaska, United States",2261,Valdez-Cordova Census Area,Alaska
"Wrangell City and Borough, Alaska, United States",2275,Wrangell City and Borough,Alaska
"Yakutat City and Borough, Alaska, United States",2282,Yakutat City and Borough,Alaska
"Yukon-Koyukuk Census Area, Alaska, United States",2290,Yukon-Koyukuk Census Area,Alaska
"Apache County, Arizona, United States",4001,Apache County,Arizona
"Cochise County, Arizona, United States",4003,Cochise County,Arizona
"Coconino County, Arizona, United States",4005,Coconino County,Arizona
"Gila County, Arizona, United States",4007,Gila County,Arizona
"Graham County, Arizona, United States",4009,Graham County,Arizona
"Greenlee County, Arizona, United States",4011,Greenlee County,Arizona
"La Paz County, Arizona, United States",4012,La Paz County,Arizona
"Maricopa County, Arizona, United States",4013,Maricopa County,Arizona
"Mohave County, Arizona, United States",4015,Mohave County,Arizona
"Navajo County, Arizona, United States",4017,Navajo County,Arizona
"Pima County, Arizona, United States",4019,Pima County,Arizona
"Pinal County, Arizona, United States",4021,Pinal County,Arizona
"Santa Cruz County, Arizona, United States",4023,Santa Cruz County,Arizona
"Yavapai County, Arizona, United States",4025,Yavapai County,Arizona
"Yuma County, Arizona, United States",4027,Yuma County,Arizona
"Arkansas County, Arkansas, United States",5001,Arkansas County,Arkansas
"Ashley County, Arkansas, United States",5003,Ashley County,Arkansas
"Baxter County, Arkansas, United States",5005,Baxter County,Arkansas
"Benton County, Arkansas, United States",5007,Benton County,Arkansas
"Boone County, Arkansas, United States",5009,Boone County,Arkansas
"Bradley County, Arkansas, United States",5011,Bradley County,Arkansas
"Calhoun County, Arkansas, United States",5013,Calhoun County,Arkansas
"Carroll County, Arkansas, United States",5015,Carroll County,Arkansas
"Chicot County, Arkansas, United States",5017,Chicot County,Arkansas
"Clark County, Arkansas, United States",5019,Clark County,Arkansas
"Clay County, Arkansas, United States",5021,Clay County,Arkansas
"Cleburne County, Arkansas, United States",5023,Cleburne County,Arkansas
"Cleveland County, Arkansas, United States",5025,Cleveland County,Arkansas
"Columbia County, Arkansas, United States",5027,Columbia County,Arkansas
"Conway County, Arkansas, United States",5029,Conway County,Arkansas
"Craighead County, Arkansas, United States",5031,Craighead County,Arkansas
"Crawford County, Arkansas, United States",5033,Crawford County,Arkansas
"Crittenden County, Arkansas, United States",5035,Crittenden County,Arkansas
"Cross County, Arkansas, United States",5037,Cross County,Arkansas
"Dallas County, Arkansas, United States",5039,Dallas County,Arkansas
"Desha County, Arkansas, United States",5041,Desha County,Arkansas
"Drew County, Arkansas, United States",5043,Drew County,Arkansas
"Faulkner County, Arkansas, United States",5045,Faulkner County,Arkansas
"Franklin County, Arkansas, United States",5047,Franklin County,Arkansas
"Fulton County, Arkansas, United States",5049,Fulton County,Arkansas
"Garland County, Arkansas, United States",5051,Garland County,Arkansas
"Grant County, Arkansas, United States",5053,Grant County,Arkansas
"Greene County, Arkansas, United States",5055,Greene County,Arkansas
"Hempstead County, Arkansas, United States",5057,Hempstead County,Arkansas
"Hot Spring County, Arkansas, United States",5059,Hot Spring County,Arkansas
"Howard County, Arkansas, United States",5061,Howard County,Arkansas
"Independence County, Arkansas, United States",5063,Independence County,Arkansas
"Izard County, Arkansas, United States",5065,Izard County,Arkansas
"Jackson County, Arkansas, United States",5067,Jackson County,Arkansas
"Jefferson County, Arkansas, United States",5069,Jefferson County,Arkansas
"Johnson County, Arkansas, United States",5071,Johnson County,Arkansas
"Lafayette County, Arkansas, United States",5073,Lafayette County,Arkansas
"Lawrence County, Arkansas, United States",5075,Lawrence County,Arkansas
"Lee County, Arkansas, United States",5077,Lee County,Arkansas
"Lincoln County, Arkansas, United States",5079,Lincoln County,Arkansas
"Little River County, Arkansas, United States",5081,Little River County,Arkansas
"Logan County, Arkansas, United States",5083,Logan County,Arkansas
"Lonoke County, Arkansas, United States",5085,Lonoke County,Arkansas
"Madison County, Arkansas, United States",5087,Madison County,Arkansas
"Marion County, Arkansas, United States",5089,Marion County,Arkansas
"Miller County, Arkansas, United States",5091,Miller County,Arkansas
"Mississippi County, Arkansas, United States",5093,Mississippi County,Arkansas
"Monroe County, Arkansas, United States",5095,Monroe County,Arkansas
"Montgomery County, Arkansas, United States",5097,Montgomery County,Arkansas
"Nevada County, Arkansas, United States",5099,Nevada County,Arkansas
"Newton County, Arkansas, United States",5101,Newton County,Arkansas
"Ouachita County, Arkansas, United States",5103,Ouachita County,Arkansas
"Perry County, Arkansas, United States",5105,Perry County,Arkansas
"Phillips County, Arkansas, United States",5107,Phillips County,Arkansas
"Pike County, Arkansas, United States",5109,Pike County,Arkansas
"Poinsett County, Arkansas, United States",5111,Poinsett County,Arkansas
"Polk County, Arkansas, United States",5113,Polk County,Arkansas
"Pope County, Arkansas, United States",5115,Pope County,Arkansas
"Prairie County, Arkansas, United States",5117,Prairie County,Arkansas
"Pulaski County, Arkansas, United States",5119,Pulaski County,Arkansas
"Randolph County, Arkansas, United States",5121,Randolph County,Arkansas
"St. Francis County, Arkansas, United States",5123,St. Francis County,Arkansas
"Saline County, Arkansas, United States",5125,Saline County,Arkansas
"Scott County, Arkansas, United States",5127,Scott County,Arkansas
"Searcy County, Arkansas, United States",5129,Searcy County,Arkansas
"Sebastian County, Arkansas, United States",5131,Sebastian County,Arkansas
"Sevier County, Arkansas, United States",5133,Sevier County,Arkansas
"Sharp County, Arkansas, United States",5135,Sharp County,Arkansas
"Stone County, Arkansas, United States",5137,Stone County,Arkansas
"Union County, Arkansas, United States",5139,Union County,Arkansas
"Van Buren County, Arkansas, United States",5141,Van Buren County,Arkansas
"Washington County, Arkansas, United States",5143,Washington County,Arkansas
"White County, Arkansas, United States",5145,White County,Arkansas
"Woodruff County, Arkansas, United States",5147,Woodruff County,Arkansas
"Yell County, Arkansas, United States",5149,Yell County,Arkansas
"Alameda County, California, United States",6001,Alameda County,California
"Alpine County, California, United States",6003,Alpine County,California
"Amador County, California, United States",6005,Amador County,California
"Butte County, California, United States",6007,Butte County,California
"Calaveras County, California, United States",6009,Calaveras County,California
"Colusa County, California, United States",6011,Colusa County,California
"Contra Costa County, California, United States",6013,Contra Costa County,California
"Del Norte County, California, United States",6015,Del Norte County,California
"El Dorado County, California, United States",6017,El Dorado County,California
"Fresno County, California, United States",6019,Fresno County,California
"Glenn County, California, United States",6021,Glenn County,California
"Humboldt County, California, United States",6023,Humboldt County,California
"Imperial County, California, United States",6025,Imperial County,California
"Inyo County, California, United States",6027,Inyo County,California
"Kern County, California, United States",6029,Kern County,California
"Kings County, California, United States",6031,Kings County,California
"Lake County, California, United States",6033,Lake County,California
"Lassen County, California, United States",6035,Lassen County,California
"Los Angeles County, California, United States",6037,Los Angeles County,California
"Madera County, California, United States",6039,Madera County,California
"Marin County, California, United States",6041,Marin County,California
"Mariposa County, California, United States",6043,Mariposa County,California
"Mendocino County, California, United States",6045,Mendocino County,California
"Merced County, California, United States",6047,Merced County,California
"Modoc County, California, United States",6049,Modoc County,California
"Mono County, California, United States",6051,Mono County,California
"Monterey County, California, United States",6053,Monterey County,California
"Napa County, California, United States",6055,Napa County,California
"Nevada County, California, United States",6057,Nevada County,California
"Orange County, California, United States",6059,Orange County,California
"Placer County, California, United States",6061,Placer County,California
"Plumas County, California, United States",6063,Plumas County,California
"Riverside County, California, United States",6065,Riverside County,California
"Sacramento County, California, United States",6067,Sacramento County,California
"San Benito County, California, United States",6069,San Benito County,California
"San Bernardino County, California, United States",6071,San Bernardino County,California
"San Diego County, California, United States",6073,San Diego County,California
"San Francisco County, California, United States",6075,San Francisco County,California
"San Joaquin County, California, United States",6077,San Joaquin County,California
"San Luis Obispo County, California, United States",6079,San Luis Obispo County,California
"San Mateo County, California, United States",6081,San Mateo County,California
"Santa Barbara County, California, United States",6083,Santa Barbara County,California
"Santa Clara County, California, United States",6085,Santa Clara County,California
"Santa Cruz County, California, United States",6087,Santa Cruz County,California
"Shasta County, California, United States",6089,Shasta County,California
"Sierra County, California, United States",6091,Sierra County,California
"Siskiyou County, California, United States",6093,Siskiyou County,California
"Solano County, California, United States",6095,Solano County,California
"Sonoma County, California, United States",6097,Sonoma County,California
"Stanislaus County, California, United States",6099,Stanislaus County,California
"Sutter County, California, United States",6101,Sutter County,California
"Tehama County, California, United States",6103,Tehama County,California
"Trinity County, California, United States",6105,Trinity County,California
"Tulare County, California, United States",6107,Tulare County,California
"Tuolumne County, California, United States",6109,Tuolumne County,California
"Ventura County, California, United States",6111,Ventura County,California
"Yolo County, California, United States",6113,Yolo County,California
"Yuba County, California, United States",6115,Yuba County,California
"Adams County, Colorado, United States",8001,Adams County,Colorado
