,weekday_outlier,global_outlier,stream_individual,stream_group,evd_ranking
05035,0.0,0,0.6991279069767442,0.29415375172625446,0.0
05037,0.0,0,0.626453488372093,0.37624673929722263,0.0
05039,0.0,0,0.436046511627907,0.7591043936371541,0.0
05041,0.0,0,0.25290697674418605,0.6024627896271291,0.0
05043,0.0,0,0.6744186046511628,0.8583704158355071,0.0
05045,0.0,0,0.7819767441860465,0.3674748094726612,0.0
05047,0.0,0,0.23546511627906974,0.624699503861695,0.0
05049,0.0,0,0.3924418604651163,0.7345787939235845,0.0
05051,0.0,0,0.5334302325581395,0.2873254564983888,0.0
05053,0.0,0,0.7180232558139535,0.4239425093345609,0.0
05055,0.0,0,0.8023255813953488,0.6661807580174928,0.0
05057,0.0,0,0.6337209302325582,0.3316198659915094,0.0
05059,0.0,0,0.7296511627906976,0.9470615313794691,0.0
05061,0.0,0,0.5683139534883721,0.22157434402332365,0.0
05063,0.0,0,0.5465116279069768,0.5187458442023426,0.0
05065,0.0,0,0.023255813953488413,0.26123983427957653,0.0
05067,0.0,0,0.22965116279069764,0.7280318142294512,0.0
05069,0.0,0,0.19476744186046513,0.023988542785535305,0.0
05071,0.0,0,0.8575581395348837,0.7941793258656846,0.0
05073,0.0,0,0.8181818181818182,0.7776840059332003,0.0
05075,0.0,0,0.5959302325581395,0.8683826914224336,0.0
05077,0.0,0,0.9375,0.8610045521968186,0.0
05079,0.0,0,0.29941860465116277,0.798769883893407,0.0
05081,0.0,0,0.876453488372093,0.7700884865224286,0.0
05083,0.0,0,0.26453488372093026,0.7470078256866657,0.0
05085,0.0,0,0.6918604651162791,0.5948544831466421,0.0
05087,0.0,0,0.9636627906976745,0.8606720883842258,0.0
05089,1.0,1,0.5101744186046512,0.6957444631988133,0.0
05091,0.0,0,0.32558139534883723,0.7276865633471433,0.0
05093,0.0,0,0.5726744186046512,0.7210245000255742,0.0
05095,0.0,0,0.5377906976744186,0.23594701038310062,0.0
05097,0.0,0,0.5697674418604651,0.7781954887218046,0.0
05099,0.0,0,0.9738372093023255,0.8758631272057695,0.0
05101,0.0,0,0.061583577712609916,0.5753158406219631,0.0
05103,0.0,0,0.7834302325581395,0.7130837297324946,0.0
05105,0.0,0,0.5872093023255813,0.8482686307605749,0.0
05107,0.0,0,0.7645348837209303,0.5919390312515984,0.0
