fips,zip,pop_prop,hrrnum,cbsa_id,population,state_id
47143,37338,0.09772965199999999,373.0,,3241.3993678839997,tn
47143,37381,0.25086791199999997,377.0,,8320.536037303998,tn
47145,37748,0.304304666,377.0,28940.0,16244.391680412,tn
47145,37763,0.277050808,377.0,28940.0,14789.526232655999,tn
47145,37840,0.18633697300000002,377.0,28940.0,9947.040292686,tn
47145,37854,0.232307553,377.0,28940.0,12401.041794246,tn
47147,37032,0.070609879,380.0,34980.0,5070.707240627,tn
47147,37049,0.053804261,380.0,34980.0,3863.845395193,tn
47147,37073,0.209055469,380.0,34980.0,15012.900395297,tn
47147,37141,0.019316971000000002,380.0,34980.0,1387.2096384230001,tn
47147,37172,0.426258231,380.0,34980.0,30610.882342802997,tn
47147,37188,0.22095519,380.0,34980.0,15867.45505947,tn
47149,37037,0.026839772,380.0,34980.0,8918.453639020001,tn
47149,37085,0.015011058,380.0,34980.0,4987.94940753,tn
47149,37086,0.114160765,380.0,34980.0,37933.909798025,tn
47149,37118,0.003445872,380.0,34980.0,1145.01157752,tn
47149,37127,0.059493827,380.0,34980.0,19768.906304695,tn
47149,37128,0.17019537699999998,380.0,34980.0,56553.370846444996,tn
47149,37129,0.193609292,380.0,34980.0,64333.463592219996,tn
47149,37130,0.190376911,380.0,34980.0,63259.391871635,tn
47149,37132,0.007962532,380.0,34980.0,2645.8299456199998,tn
47149,37153,0.021909473,380.0,34980.0,7280.189235805,tn
47149,37167,0.19699512,380.0,34980.0,65458.5234492,tn
47151,37732,0.007194555,377.0,,158.76943974,tn
47151,37755,0.159271067,377.0,,3514.793906556,tn
47151,37756,0.135748751,377.0,,2995.703437068,tn
47151,37841,0.38648113,377.0,,8528.86557684,tn
47151,37847,0.10921075300000001,377.0,,2410.0628972040004,tn
47151,37852,0.11709460599999999,377.0,,2584.043765208,tn
47151,37892,0.084999138,377.0,,1875.760977384,tn
47153,37327,1.0,373.0,16860.0,15026.0,tn
47155,37738,0.055769732999999995,377.0,,5479.37626725,tn
47155,37764,0.09779531400000001,377.0,,9608.3896005,tn
47155,37862,0.23517659600000002,377.0,,23106.100557,tn
47155,37863,0.069303054,377.0,,6809.0250555,tn
47155,37865,0.216422705,377.0,,21263.530766249998,tn
47155,37876,0.325532598,377.0,,31983.5777535,tn
47157,38002,0.042698180999999995,379.0,32820.0,40015.283495045995,tn
47157,38016,0.050668084,379.0,32820.0,47484.405609944,tn
47157,38017,0.057686309000000005,379.0,32820.0,54061.64746029401,tn
47157,38018,0.039485606,379.0,32820.0,37004.567432596,tn
47157,38029,0.0,379.0,32820.0,0.0,tn
47157,38053,0.028163082000000002,379.0,32820.0,26393.482905612003,tn
47157,38054,0.000287519,379.0,32820.0,269.45303115400003,tn
47157,38103,0.014900068999999998,379.0,32820.0,13963.838064454,tn
47157,38104,0.024950506,379.0,32820.0,23382.765905996002,tn
47157,38105,0.006587477,379.0,32820.0,6173.559470182,tn
47157,38106,0.025493716,379.0,32820.0,23891.843848856,tn
47157,38107,0.017102614,379.0,32820.0,16027.988351924,tn
47157,38108,0.01898475,379.0,32820.0,17791.862218500002,tn
47157,38109,0.047660272999999996,379.0,32820.0,44665.587406317994,tn
47157,38111,0.046218434,379.0,32820.0,43314.344918044,tn
47157,38112,0.018123253,379.0,32820.0,16984.496520998,tn
47157,38114,0.028418772000000002,379.0,32820.0,26633.106880152,tn
47157,38115,0.043326267,379.0,32820.0,40603.904339322,tn
47157,38116,0.042181496,379.0,32820.0,39531.063880336,tn
47157,38117,0.027458607000000003,379.0,32820.0,25733.272887762003,tn
47157,38118,0.04102081,379.0,32820.0,38443.308424459996,tn
47157,38119,0.024345761,379.0,32820.0,22816.019453326,tn
47157,38120,0.015526033,379.0,32820.0,14550.470242478,tn
47157,38122,0.026200313,379.0,32820.0,24554.042532958,tn
47157,38125,0.039806015,379.0,32820.0,37304.84385349,tn
47157,38126,0.006797546,379.0,32820.0,6370.4289946359995,tn
47157,38127,0.046922909000000006,379.0,32820.0,43974.554935894004,tn
47157,38128,0.048283055,379.0,32820.0,45249.237522129995,tn
47157,38131,0.0,379.0,32820.0,0.0,tn
47157,38132,0.0,379.0,32820.0,0.0,tn
47157,38133,0.023610519,379.0,32820.0,22126.975649154,tn
47157,38134,0.047587067000000004,379.0,32820.0,44596.981232122,tn
47157,38135,0.031525252000000004,379.0,32820.0,29544.394315832003,tn
47157,38138,0.026494197999999997,379.0,32820.0,24829.461562867997,tn
47157,38139,0.016735523000000002,379.0,32820.0,15683.963147818002,tn
47157,38141,0.023701761000000002,379.0,32820.0,22212.484549326,tn
47157,38152,0.001048225,379.0,32820.0,982.36083035,tn
47159,37030,0.400760327,380.0,34980.0,8078.125911339001,tn
47159,37057,0.039888788,380.0,34980.0,804.038299716,tn
47159,37145,0.11870177,380.0,34980.0,2392.6715778899998,tn
47159,37151,0.021618248,380.0,34980.0,435.759024936,tn
47159,38547,0.10979346300000001,380.0,34980.0,2213.1068336910002,tn
47159,38552,0.01197231,380.0,34980.0,241.32585267,tn
47159,38560,0.066954153,380.0,34980.0,1349.5948620210002,tn
47159,38563,0.19927371800000002,380.0,34980.0,4016.760333726,tn
47159,38567,0.024001362000000002,380.0,34980.0,483.79545383400006,tn
47159,38569,0.00703586,380.0,34980.0,141.82183002,tn
47161,37023,0.100641774,380.0,17300.0,1380.30193041,tn
47161,37028,0.056738622999999995,380.0,17300.0,778.1702144449999,tn
47161,37050,0.096630688,380.0,17300.0,1325.2898859200002,tn
47161,37058,0.565781797,380.0,17300.0,7759.697345855,tn
47161,37079,0.180207118,380.0,17300.0,2471.54062337,tn
47163,37617,0.083454675,376.0,28700.0,13214.8808769,tn
47163,37618,0.07828614099999999,376.0,28700.0,12396.453855067999,tn
47163,37620,0.23447333899999998,376.0,28700.0,37128.384283971995,tn
47163,37656,0.023472002999999998,376.0,28700.0,3716.7447310439998,tn
47163,37660,0.235032913,376.0,28700.0,37216.991707724,tn
47163,37663,0.08838253199999999,376.0,28700.0,13995.197177135999,tn
