fips,pop
28113,39284
28115,32280
28117,25074
28119,6808
28121,155342
28123,28203
28125,4312
28127,26803
28129,15840
28131,18289
28133,25131
28135,13931
28137,28304
28139,22021
28141,19368
28143,9602
28145,28711
28147,14316
28149,45477
28151,43973
28153,20186
28155,9702
28157,8628
28159,17993
28161,12104
28163,29698
29001,25511
29003,17699
29005,5109
29007,24962
29009,35789
29011,11681
29013,16213
29015,19477
29017,12142
29019,181084
29021,87212
29023,42574
29025,9039
29027,44762
29029,46211
29031,78971
29033,8698
29035,5981
29037,105731
29039,14301
29041,7463
29043,88913
29045,6804
29047,250522
29049,20434
29051,76774
29053,17563
29055,23856
29057,7547
29059,16984
29061,8273
29063,10802
29065,15548
29067,13248
29069,29173
29071,103860
29073,14671
29075,6564
29077,293499
29079,9780
29081,8346
29083,21971
29085,9496
29087,4387
29089,9982
29091,40084
29093,10152
29095,704350
29097,121228
29099,225402
29101,54187
29103,3957
29105,35869
29107,32774
29109,38288
29111,9787
29113,59040
29115,11906
29117,14982
29119,22912
29121,15111
29123,12118
29125,8751
29127,28543
29129,3619
29131,25607
29133,13208
29135,15816
29137,8627
29139,11472
29141,20720
29143,17052
29145,58329
29147,22089
29149,10517
29151,13621
29153,9155
29155,15864
29157,19164
29159,42417
29161,44593
29163,17678
29165,104726
29167,32228
29169,52634
29171,4688
29173,10292
29175,24839
29177,23024
29179,6288
29181,13343
29183,401625
29185,9450
29186,17957
29187,66942
29189,995467
29195,22827
29197,4632
29199,4936
29201,38416
29203,8177
29205,5923
29207,29096
29209,32002
29211,6061
29213,56057
29215,25383
29217,20654
29219,35716
29221,24743
29223,12904
29225,39644
29227,1989
29229,18329
29510,300887
30001,9474
30003,13248
30005,6704
30007,6203
30009,10703
30011,1245
30013,81393
30015,5681
30017,11361
30019,1646
30021,8638
30023,9207
30025,2878
30027,11032
30029,103880
30031,114472
30033,1272
30035,13701
30037,827
30039,3335
30041,16494
30043,12211
30045,2010
30047,30586
30049,69578
30051,2386
30053,20099
30055,1649
30057,8749
30059,1841
30061,4422
30063,120066
30065,4626
30067,16612
30069,497
30071,3955
30073,5858
30075,1688
30077,6854
30079,1064
30081,44149
30083,10943
30085,11027
30087,8955
30089,11946
30091,3318
30093,34901
30095,9671
30097,3717
30099,6150
30101,4709
30103,697
30105,7390
30107,2102
30109,954
30111,161349
31001,31309
31003,6317
31005,468
31007,757
31009,455
31011,5176
31013,10786
31015,1894
31017,2966
31019,49823
31021,6494
31023,7990
31025,26186
31027,8420
31029,3901
31031,5757
31033,9011
31035,6219
31037,10677
31039,8818
31041,10796
31043,20100
31045,8557
31047,23571
31049,1816
31051,5636
31053,36444
31055,570860
31057,1686
31059,5484
31061,2945
31063,2631
31065,4690
31067,21542
31069,1822
31071,1970
31073,1978
31075,631
31077,2368
31079,61454
31081,9285
31083,3372
31085,911
31087,2759
31089,10084
31091,668
31093,6423
31095,7020
31097,5050
31099,6607
31101,8021
31103,784
31105,3597
31107,8337
31109,318403
31111,34856
31113,750
31115,659
31117,493
31119,35059
31121,7818
31123,4624
31125,3482
31127,6943
31129,4152
31131,15993
31133,2639
31135,2884
31137,8991
31139,7136
31141,33413
31143,5154
31145,10720
31147,7854
31149,1370
31151,14194
31153,186893
31155,21562
31157,35582
31159,17318
31161,5229
31163,2984
31165,1158
31167,5932
31169,4976
31171,723
31173,7234
31175,4117
31177,20683
31179,9413
31181,3465
31183,780
31185,13612
32001,25048
32003,2275884
32005,48998
32007,52880
32009,870
32011,2078
32013,16884
32015,5516
32017,5179
32019,57499
32021,4516
32023,46845
32027,6628
32029,4193
32031,472381
32033,9478
32510,55894
