zip,pop
04537,2083
04538,2090
04539,1173
04541,80
04543,2229
04544,727
04547,1153
04548,1058
04551,810
04553,1760
04554,713
04555,1651
04556,1255
04558,309
04562,2251
04563,1535
04564,491
04568,393
04570,2
04571,324
04572,5101
04573,503
04574,1511
04575,85
04576,607
04578,4472
04579,3121
04605,13110
04606,1214
04607,1194
04609,5276
04611,485
04612,595
04613,184
04614,2606
04616,832
04617,819
04619,2980
04622,1352
04623,1006
04624,185
04625,47
04626,484
04627,1653
04628,671
04629,108
04630,1335
04631,1271
04634,1943
04635,61
04637,129
04640,2284
04642,124
04643,972
04644,13
04645,73
04646,94
04648,553
04649,1308
04650,237
04652,1614
04653,495
04654,3270
04655,1068
04657,346
04658,1292
04660,1322
04662,493
04664,1251
04666,1119
04667,1564
04668,1604
04669,206
04671,550
04673,113
04674,489
04675,255
04676,1099
04677,276
04679,1785
04680,1080
04681,1053
04683,105
04684,1481
04685,335
04686,108
04691,421
04693,521
04694,2269
04730,9322
04732,1558
04733,207
04734,746
04735,575
04736,9214
04739,1037
04740,1200
04741,2
04742,3261
04743,4362
04745,1009
04746,438
04747,1247
04750,2428
04756,3119
04757,2677
04758,1397
04760,741
04761,493
04762,561
04763,677
04764,61
04765,1246
04766,360
04768,373
04769,9042
04772,710
04773,674
04774,681
04776,863
04777,417
04779,371
04780,753
04781,522
04783,397
04785,2336
04786,1838
04787,507
04841,7303
04843,4855
04847,1537
04848,579
04849,3772
04851,75
04852,69
04853,354
04854,1581
04855,307
04856,3333
04858,1534
04859,724
04860,1592
04861,2783
04862,3595
04863,1166
04864,4755
04901,26280
04910,2043
04911,2064
04912,1013
04915,9016
04917,2852
04918,349
04920,1655
04921,1631
04922,1191
04923,465
04924,2199
04925,72
04926,52
04927,3490
04928,2172
04929,809
04930,4236
04932,1167
04933,64
04936,256
04937,6423
04938,9686
04939,1092
04940,115
04941,1792
04942,1279
04943,1732
04944,40
04945,1200
04947,1817
04949,934
04950,4692
04951,927
04952,1872
04953,3190
04955,1336
04956,745
04957,4122
04958,1888
04961,939
04962,125
04963,7246
04964,216
04965,1910
04966,1650
04967,4088
04969,1346
04970,1590
04971,1938
04973,1422
04974,2673
04975,46
04976,9572
04978,772
04979,1028
04981,2371
04982,618
04983,1719
04984,513
04985,110
04986,1762
04987,1054
04988,2184
04989,4220
04992,101
05001,8864
05031,211
05032,2588
05033,2739
05034,301
05035,619
05036,1035
05037,544
05038,1228
05039,1108
05040,470
05041,353
05042,581
05043,935
05045,1755
05046,1093
05048,2360
05050,140
05051,1546
05052,338
05053,322
05055,3267
05056,550
05058,345
05059,849
05060,4403
05061,1676
05062,682
05065,1033
05067,250
05068,3036
05069,534
05070,483
05071,314
05072,525
05075,1111
05076,411
05077,1213
05079,728
05081,549
05083,150
05084,136
05086,791
05089,4837
05091,3194
05101,4404
05141,106
05142,660
05143,4205
05146,711
05148,1082
05149,2032
05150,807
05151,1508
05152,428
05153,667
05154,626
05155,785
05156,8964
05158,995
05161,536
05201,14188
05250,3256
05251,1289
05252,261
05253,654
05254,260
05255,3937
05257,2596
05260,438
05261,2615
05262,2433
05301,15954
05340,728
05341,386
05342,551
05343,869
05345,2009
05346,4917
05350,728
05352,787
05353,1016
05354,2096
05355,771
05356,680
05358,140
05359,563
05360,238
05361,898
05362,120
05363,1917
05401,29486
05403,18405
05404,7574
05405,4609
05408,10581
05439,1814
05440,2073
05441,991
05442,351
05443,6648
05444,1774
05445,3927
05446,16082
05447,81
05448,1173
05450,5149
05452,20620
05454,4601
05455,1117
05456,1275
05457,1673
05458,2121
05459,2230
05461,4744
05462,2027
05463,488
05464,3116
05465,5602
05468,13509
05471,925
05472,1641
05473,1411
05474,833
05476,3293
05477,4600
05478,14950
05482,7530
05483,1348
05485,96
05486,1716
05487,1497
05488,7956
05489,3320
05491,5901
05492,706
05494,1848
05495,9772
05602,11690
05640,157
05641,16854
05647,1119
05648,415
05649,569
05650,1101
05651,1516
05652,804
05653,566
05654,954
05655,2971
05656,3635
05657,58
05658,1375
05660,1628
05661,5823
05663,6645
05664,78
05667,2125
05669,622
05672,4470
05673,2525
05674,1672
05675,1062
05676,4921
05677,2189
05678,159
05679,3290
05680,2246
05681,449
05682,1227
05701,19637
05730,285
05732,668
05733,5629
05734,1304
05735,4155
05736,645
05737,826
05738,1011
05739,1328
05740,24
05742,563
05743,4087
05744,503
05747,279
05748,322
05751,765
05753,10478
05757,785
05758,740
05759,1724
05760,1119
05761,944
05762,511
05763,2593
05764,3258
05765,1702
05766,571
05767,1110
05769,1214
05770,1134
05772,692
05773,2016
05774,1065
05775,588
05776,682
05777,3228
05778,729
05819,9070
05820,657
05821,1218
05822,1859
05824,1108
05825,189
05826,975
05827,306
05828,1851
05829,1988
05830,1491
05832,943
05833,271
05836,1025
05837,343
05839,769
05841,421
05842,511
05843,2455
05845,1088
05846,1223
05847,872
05850,221
05851,6270
05853,705
05855,7118
05857,1529
05858,359
05859,1806
05860,2538
05862,341
05866,703
05867,863
05868,361
05871,1573
05872,783
05873,648
05874,501
05875,450
05901,19
05902,183
05903,848
05904,260
05905,808
05906,1151
05907,172
06001,18337
06002,20433
06010,60292
06013,9302
06016,6210
06018,2720
06019,10103
06021,298
06022,162
06023,1292
06024,614
06026,5103
06027,1488
06029,15346
06031,1221
06032,17629
06033,28688
06035,7493
06037,18517
06039,1843
06040,35215
06042,22883
06043,4921
06051,30440
06052,7837
06053,34773
06057,6368
06058,1696
06060,2574
06061,160
06062,17669
06063,3119
06065,859
06066,28842
06067,19658
06068,1530
06069,2406
06070,15065
06071,11494
06073,5636
06074,25639
06076,12495
06078,12381
06081,1377
06082,44539
06084,14872
06085,7257
06088,4923
06089,2805
06090,1228
06091,139
06092,4192
06093,3313
06095,29004
06096,12465
06098,11798
06103,1406
06105,19342
06106,39799
06107,18737
06108,24244
06109,26599
06110,12617
06111,30483
06112,22820
06114,27378
06117,17222
06118,26886
06119,15434
06120,12853
06226,19834
06231,4030
06232,3254
06234,8129
06235,2225
06237,5421
06238,12267
06239,11027
06241,6557
06242,1388
06243,59
06247,2801
06248,5530
06249,7072
06250,4758
06254,1859
06255,4678
06256,2124
06259,4435
06260,9377
06262,577
06263,340
06264,163
06266,488
06268,11332
06269,9716
06277,4082
06278,4392
06279,5963
06280,3118
06281,6833
06282,1080
06320,26725
06330,3182
06331,5065
06332,254
06333,6393
06334,2508
06335,6511
06336,81
06339,8033
06340,30233
06350,64
06351,15774
06353,156
06354,6055
06355,12565
06357,12146
06359,5141
06360,36328
06365,4567
06370,7189
06371,9630
06373,340
06374,8256
06375,3541
06376,55
06377,2920
06378,5224
06379,8746
06380,2769
06382,11561
06384,2587
06385,15379
06387,210
06389,39
06390,233
06401,19064
06403,5978
06405,27610
06409,679
06410,28899
06412,3915
06413,12976
06414,209
06415,16322
06416,13731
06417,4538
06418,12798
06419,6397
06420,4047
06422,7243
06423,4997
06424,12557
06426,3181
06437,22174
06438,2500
06441,5331
06442,2691
06443,18105
06444,369
06447,6387
06450,36166
06451,24200
06455,3086
06456,289
06457,46716
06460,37865
06461,14421
06467,156
06468,20042
06469,3146
06470,16465
06471,7650
06472,6791
06473,24169
06475,10041
06477,13831
06478,12569
06479,10404
06480,9322
06481,1252
06482,11891
06483,16391
06484,40702
06488,19725
06489,31984
06492,44836
06498,6826
06510,2712
06511,53120
06512,29593
06513,38629
06514,26029
06515,16987
06516,55066
06517,14720
06518,19670
06519,16280
06524,5513
06525,8909
06604,31189
06605,24073
06606,47572
06607,8069
06608,14066
06610,23392
06611,37134
06612,7668
06614,33880
06615,18986
06702,3621
06704,24913
06705,26879
06706,14195
06708,29151
06710,10619
06712,9292
06716,16530
