safegraph_brand_id,brand_name,parent_safegraph_brand_id,naics_code,top_category,sub_category,stock_symbol,stock_exchange
SG_BRAND_51ee124bd1b84993ce9298180f9d6cc5,Aire Serv,"",238220,Building Equipment Contractors,"Plumbing, Heating, and Air-Conditioning Contractors","",""
SG_BRAND_7159747f7911f6fbcbf38ae6d6d2c2f0,Airgas,"",424690,Chemical and Allied Products Merchant Wholesalers,Other Chemical and Allied Products Merchant Wholesalers,ARG,NYSE
SG_BRAND_1faa49d859155d,Airheads Adventure Arena,"",713990,Other Amusement and Recreation Industries,All Other Amusement and Recreation Industries,"",""
SG_BRAND_4e8055d6360cb6fe4e8d312ca37e8004,AJ Wright,"",448140,Clothing Stores,Family Clothing Stores,"",""
SG_BRAND_04c84ebc56e7fbba4c731e9261820e6e,AJ's Fine Foods,SG_BRAND_989f6147079aefc986c51ea3b9a6039a,445110,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,"",""
SG_BRAND_560069ca5b21fb485c309d20165ab91b,Akin's Natural Food Market,"",445110,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,"",""
SG_BRAND_7009d88a4e0b4b9,Akira,"",448210,Shoe Stores,Shoe Stores,"",""
SG_BRAND_53ed9ca055813fdf0a8585e5300ef667,Al and Ed's Autosound,"",443142,Electronics and Appliance Stores,Electronics Stores,"",""
SG_BRAND_4d46cff2a6a67a7bf617e441737d09d8,Al's Beef,"",722513,Restaurants and Other Eating Places,Limited-Service Restaurants,"",""
SG_BRAND_f1f017b4f6b6550246101e43f418c65b,Al's Formal Wear,"",448190,Clothing Stores,Other Clothing Stores,"",""
SG_BRAND_791eefb06bf05a40af4077f354ae7596,Alabama Farmers Cooperative,"",444220,Lawn and Garden Equipment and Supplies Stores,"Nursery, Garden Center, and Farm Supply Stores","",""
SG_BRAND_2f36cd3178a2d43a1edbdbc9fd8f64f7,Alamo Drafthouse Cinema,"",512131,Motion Picture and Video Industries,Motion Picture Theaters (except Drive-Ins),"",""
SG_BRAND_2b49f9e689320124edcf2d64cc85e571,Alamo Industrial,"",333112,"Agriculture, Construction, and Mining Machinery Manufacturing",Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing,ALG,NYSE
SG_BRAND_aee25fc720cb8a6433eca11a512a6757,Alamo Rent A Car,"",532111,Automotive Equipment Rental and Leasing,Passenger Car Rental,"",""
SG_BRAND_489a806735a1ff46711ff1f3b13ca0bf,Alaska Commercial Company,SG_BRAND_1b123f515d08bb0,445110,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,NWC,TSE
SG_BRAND_942c238b1dddf5d40a05dbad6851b58b,Albertsons,"",445110,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,"",""
SG_BRAND_b1cee15316c1cf1a,Albertsons Market,SG_BRAND_942c238b1dddf5d40a05dbad6851b58b,445110,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,"",""
SG_BRAND_43c9d246e29acfebd217d14740993446,Alcoa,"",331313,Alumina and Aluminum Production and Processing,Alumina Refining and Primary Aluminum Production,AA,NYSE
SG_BRAND_41267d9fb3826d417e32077a3b0a35e5,ALDI,"",445110,Grocery Stores,Supermarkets and Other Grocery (except Convenience) Stores,"",""
SG_BRAND_97f9b8b5f3ff0c65246e0c2b8acfae30,ALDO,"",448210,Shoe Stores,Shoe Stores,"",""
SG_BRAND_a793ed7a12379358db9303978c6f4dd4,Alex and Ani,"",448310,"Jewelry, Luggage, and Leather Goods Stores",Jewelry Stores,"",""
SG_BRAND_5ed999a3d316130e7283d5fb07081fca,Alfa Romeo,SG_BRAND_3118e9dbb4e557ce,441110,Automobile Dealers,New Car Dealers,FCAU,NYSE
SG_BRAND_5a17f5c67b0713be,Aliberto's Real Fresh Mexican Food,"",722511,Restaurants and Other Eating Places,Full-Service Restaurants,"",""
SG_BRAND_7b12a81e13e07aac,Alice and Olivia,"",448120,Clothing Stores,Women's Clothing Stores,"",""
SG_BRAND_310b0172ef6d6ebd,Alila Hotels,"",721110,Traveler Accommodation,Hotels (except Casino Hotels) and Motels,"",""
SG_BRAND_71f8c12641ae274f,All India Cafe,"",722511,Restaurants and Other Eating Places,Full-Service Restaurants,"",""
SG_BRAND_5e98b9d628c02fc1159b9b63fae64c91,All Tune & Lube,"",811191,Automotive Repair and Maintenance,Automotive Oil Change and Lubrication Shops,"",""
SG_BRAND_7518addcbb462c3a,Allbirds,"",448210,Shoe Stores,Shoe Stores,"",""
SG_BRAND_cf92bba151e7cda8e395f7cc45662af9,Allegra Network,"",323111,Printing and Related Support Activities,Commercial Printing (except Screen and Books),"",""
